,neighbors
93,"['13151000035' '13151000061' '13151000055' '13151000060' '13151000038'
 '13151000062' '13151000043' '13151000042']"
94,"['13161000202' '13161000100' '13161000201' '1300100005B' '13161000401'
 '13161000302']"
95,"['13025000002' '13039000001' '13127001713' '13127001933' '13127001923'
 '1330500003B']"
96,"['13151000051' '13255000013' '13151000031' '13151000029' '13063000PH2'
 '13255000014']"
97,"['13151000028' '13151000030' '13151000034' '13151000032' '13151000031'
 '13151000029']"
98,"['13027001230' '13027001712' '13275000104' '13071000007' '13071000018'
 '13275000116' '13275000101']"
99,"['13275000115' '13275000120' '13275000105' '13275000107' '13275000118'
 '13275000103' '13275000106' '1313100000M' '13275000112' '1313100000D'
 '1313100000P']"
100,['13275000109' '13275000114' '13275000105' '13275000118']
101,"['13185000008' '13185000003' '13185000002' '13185000006' '13173000001'
 '13101001058']"
102,"['13029000002' '13029FTSTEW' '1310300001B' '1310300001C' '1305107-08C'
 '13031000005' '13031000006']"
103,['13029000003' '13029FTSTEW' '13029000001' '13031000005' '13031000006']
104,"['13237000105' '13237000104' '13237000107' '13211000004' '13211000005'
 '13211000002' '13211000003' '13159000363' '13159000295' '13169000005'
 '13159000289']"
105,"['13133000008' '1314100003B' '13237000101' '13237000104' '13211000002'
 '13237000106']"
106,['13237000101' '13237000105' '13237000107' '13237000106']
107,"['13209000007' '13161000202' '13161000301' '13161000201' '13309000001'
 '13161000401' '13161000501']"
108,"['13027001402' '13027001199' '13027000660' '13275000117' '13027001712'
 '13275000102' '13275000101']"
109,"['1307500000C' '13019001157' '13019001329' '130750000EP' '130750000RB'
 '1307500000M']"
110,"['13185000001' '130750000DB' '13019001329' '130750000EP' '130750000NL'
 '130750000RB']"
111,"['13021000GF3' '13021000EM1' '13021000VV2' '13021000VV4' '13021000VV1'
 '13021000RU2' '13021000EM5' '13021000GF2' '13021000VV3' '13021000HA1'
 '13021000HA3' '13021000VV6']"
112,"['13021000GF1' '13021000GF5' '13021000GF4' '13021000RU1' '13021000GF2'
 '13021000HA1']"
113,['13021000GF1' '13021000VV1' '13021000EM3' '13021000EM5' '13021000EM2']
114,['13021000GF1' '13021000VV1' '13021000VV6']
115,"['13021000GF1' '13021000VV3' '13021000HA3' '13021000VV6' '13021000HO2'
 '13021000HO1']"
116,['1304900005F' '13025000002' '13025000001' '13039000001' '1304900005R']
117,['13299000407' '1304900004A' '1304900003B']
118,"['1304900005W' '13049000002' '1304900004H' '13039000001' '13039000004'
 '1304900005R']"
119,['1304900005F' '1304900004H' '1304900004A']
120,['1304900005F' '13049000002' '1304900004A' '1304900005R']
121,"['13071000008' '13071000001' '13071000015' '13071000017' '13071000011'
 '13071000007' '13071000014' '13071000018']"
122,['131210SS07A' '131210SS07B' '131210SS08D' '131210SS08A' '131210SS08C']
123,"['131210SS13B' '131210SS09A' '131210SS09B' '1312100007A' '1312100008A'
 '1312100008C' '1312100SS14']"
124,"['1312100001G' '1312100012K' '1312100012A' '1312100012S' '1312100001J'
 '1312100004V' '1312100001F']"
125,"['1312100RW01' '13057000026' '13057000002' '1306700PO01' '131210ML01B'
 '131210ML012' '1312100MP01' '1312100RW12' '13057000028']"
126,['1312100012M' '1312100HP01' '131210012H1' '131210012H2' '131210012E1']
127,"['1312100RW09' '1306700SF01' '1306700WL01' '1306700PO01' '1312100RW02'
 '1312100RW10' '1312100RW12' '1306700RW01' '1312100RW08']"
128,"['1312100JC07' '1312100JC09' '1312100JC06' '1312100JC12' '1312100JC15'
 '1312100JC14' '1312100JC10']"
129,"['1312100JC11' '1312100JC09' '1312100JC01' '1312100JC08' '1312100JC06'
 '1312100JC02' '1312100JC05']"
130,['1312100JC11' '1312100JC07' '1312100JC08' '1312100JC10']
131,['13025000001' '13229000002' '1322900003B']
132,"['13001000002' '1300100004B' '1300100004D' '130010003A1' '1330500002A'
 '1330500002C' '1300100005A' '1330500001A']"
133,['1300100003C' '1300100001B' '1300100001C' '130010003A1' '1300100005A']
134,"['13273000001' '13273000003' '13243000566' '13243000334' '13273000006'
 '13273000004']"
135,"['13173000001' '13003000001' '13019001767' '13069000001' '13019001148'
 '13069000003' '13019000518']"
136,"['1305900002A' '1305900005C' '1305900005D' '1305900004B' '1305900002B'
 '1305900003A' '1305900007B']"
137,['13263000002' '13263000004' '13263000001' '13263000003']
138,"['13015000005' '13015000011' '13015000014' '13015000008' '13115000025'
 '13115000030' '13015000001' '13115000130' '13115000060']"
139,"['13273000001' '13273000005' '13177000003' '13273000002' '13261000017'
 '13177000002' '13273000004']"
140,"['13183000007' '13183000003' '13179000001' '1330500003A' '13191001771'
 '13191001480' '1330500003B' '13179000014']"
141,"['13183000007' '13183000004' '13183000005' '13179000001' '13179000004'
 '13179000014']"
142,"['13123000010' '13123000001' '13123000004' '13123000011' '13123000013'
 '13123000002']"
143,"['13025000003' '1304900005W' '13025000001' '13039000001' '1330500002A'
 '1322900004A' '1330500003B' '1322900003B']"
