,neighbors
127,"['04005000041' '04005000092' '04007000035' '04007000036' '04007000038'
 '04007000040' '04017000005' '04017000025' '04017000040' '04017000043']"
128,['04005000005' '04005000043' '04005000051' '04005000056']
129,"['04005000004' '04005000005' '04005000040' '04005000043' '04005000055'
 '04005000059' '04005000079' '04005000084' '04005000097' '04005000098']"
130,"['04005000042' '04005000043' '04005000059' '04005000060' '04005000075'
 '04005000097' '04015000205' '04015000223']"
131,['04005000043' '04005000056' '04005000058' '04005000097']
132,"['04005000058' '04005000064' '04005000097' '04015000205' '04015000221'
 '04015000224' '04025000013']"
133,['04005000065' '04005000071' '04005000090' '04017000034']
134,"['04005000021' '04005000022' '04005000040' '04005000063' '04005000080'
 '04005000082' '04005000084']"
135,"['04005000022' '04005000023' '04005000024' '04005000041' '04005000062'
 '04005000080' '04005000092' '04025000030']"
136,['04005000060' '04005000066' '04005000097' '04025000013' '04025000043']
137,"['04005000047' '04005000061' '04005000067' '04005000071' '04005000090'
 '04005000093']"
138,['04005000064' '04005000097' '04005000098' '04025000043']
139,"['04005000047' '04005000065' '04005000071' '04005000073' '04005000074'
 '04005000075']"
140,"['04005000043' '04005000051' '04005000088' '04005000092' '04017000001'
 '04017000046' '04017000058']"
141,['04005000043' '04005000048' '04005000093' '04005000095']
142,['04005000061' '04005000065' '04005000067' '04005000075' '04017000034']
143,['04005000073' '04005000074' '04005000075']
144,['04005000067' '04005000072' '04005000074' '04005000075']
145,['04005000067' '04005000072' '04005000073' '04005000075']
146,"['04005000042' '04005000047' '04005000058' '04005000067' '04005000071'
 '04005000072' '04005000073' '04005000074']"
147,['04005000040' '04005000056' '04005000098' '04005000099']
148,"['04005000062' '04005000063' '04005000082' '04005000083' '04025000030'
 '04025000035']"
149,"['04005000040' '04005000062' '04005000080' '04005000083' '04025000041'
 '04025000090']"
150,['04005000080' '04005000082' '04025000035' '04025000041']
151,"['04005000004' '04005000005' '04005000006' '04005000021' '04005000040'
 '04005000056' '04005000062']"
152,['04005000050' '04005000051' '04005000052' '04005000086' '04005000092']
153,['04005000018' '04005000026' '04005000050' '04005000051' '04005000085']
154,"['04005000043' '04005000048' '04005000069' '04017000030' '04017000046'
 '04017000047']"
155,"['04005000048' '04005000061' '04005000065' '04005000093' '04017000020'
 '04017000034']"
156,"['04005000024' '04005000026' '04005000041' '04005000050' '04005000051'
 '04005000052' '04005000053' '04005000063' '04005000069' '04005000085'
 '04017000001' '04017000043' '04017000058']"
157,"['04005000047' '04005000048' '04005000065' '04005000070' '04005000090'
 '04005000094' '04005000095']"
158,['04005000042' '04005000047' '04005000093' '04005000095']
159,['04005000042' '04005000043' '04005000070' '04005000093' '04005000094']
160,"['04005000043' '04005000056' '04005000058' '04005000059' '04005000060'
 '04005000064' '04005000066' '04005000098']"
161,"['04005000056' '04005000066' '04005000079' '04005000097' '04005000099'
 '04025000043']"
162,"['04005000040' '04005000079' '04005000098' '04025000039' '04025000043'
 '04025000066' '04025000090']"
163,"['04007000002' '04007000003' '04007000007' '04007000009' '04007000010'
 '04007000013' '04007000018' '04007000023' '04007000024' '04007000040']"
164,['04007000001' '04007000003' '04007000007' '04007000009']
165,['04007000001' '04007000002' '04007000004' '04007000007' '04007000009']
166,"['04007000003' '04007000006' '04007000007' '04007000008' '04007000009'
 '04007000012']"
167,['04007000004' '04007000007' '04007000008' '04007000012']
168,"['04007000001' '04007000002' '04007000003' '04007000004' '04007000006'
 '04007000010' '04007000012']"
169,"['04007000004' '04007000006' '04007000009' '04007000012' '04007000014'
 '04007000015' '04007000017' '04007000054' '04021000001']"
170,"['04007000001' '04007000002' '04007000003' '04007000004' '04007000008'
 '04007000016' '04007000017' '04007000018']"
171,"['04007000001' '04007000007' '04007000011' '04007000012' '04007000040'
 '04007000054' '04009000016' '04017000056' '04021000004' '04021000103']"
172,['04007000010' '04007000040' '04009000016' '04017000005' '04017000056']
173,"['04007000004' '04007000006' '04007000007' '04007000008' '04007000010'
 '04007000054']"
174,"['04007000001' '04007000014' '04007000015' '04007000017' '04007000018'
 '04007000023' '04013000673' '04021000052']"
175,['04007000008' '04007000013' '04007000015' '04021000001' '04021000052']
176,['04007000008' '04007000013' '04007000014' '04007000017']
177,['04007000009' '04007000017' '04007000018']
178,"['04007000008' '04007000009' '04007000013' '04007000015' '04007000016'
 '04007000018']"
179,['04007000001' '04007000009' '04007000013' '04007000016' '04007000017']
180,['04007000001' '04007000013' '04007000024' '04007000025' '04013000673']
181,['04007000001' '04007000023' '04007000025' '04007000038' '04007000040']
182,"['04007000023' '04007000024' '04007000026' '04007000037' '04007000038'
 '04013000266' '04013000648' '04013000673']"
183,"['04007000025' '04007000027' '04007000028' '04007000030' '04007000031'
 '04007000032' '04007000037' '04007000039' '04013000266' '04025000046']"
184,['04007000026' '04007000030' '04007000034' '04007000037']
185,['04007000026' '04007000031' '04007000032']
186,['04007000030' '04007000031' '04007000033']
187,"['04007000026' '04007000027' '04007000029' '04007000031' '04007000033'
 '04007000034']"
188,"['04007000026' '04007000028' '04007000029' '04007000030' '04007000032'
 '04007000033']"
189,"['04007000026' '04007000028' '04007000031' '04007000033' '04007000039'
 '04007000051']"
190,"['04007000029' '04007000030' '04007000031' '04007000032' '04007000034'
 '04007000035' '04007000036' '04007000051']"
191,"['04007000027' '04007000030' '04007000033' '04007000036' '04007000037'
 '04007000038']"
192,['04005000041' '04005000053' '04007000033' '04007000036' '04007000051']
193,['04005000053' '04007000033' '04007000034' '04007000035' '04007000038']
194,['04007000025' '04007000026' '04007000027' '04007000034' '04007000038']
195,"['04005000053' '04007000024' '04007000025' '04007000034' '04007000036'
 '04007000037' '04007000040']"
196,"['04005000041' '04007000026' '04007000032' '04007000051' '04025000030'
 '04025000046']"
197,"['04005000053' '04007000001' '04007000010' '04007000011' '04007000024'
 '04007000038' '04017000005' '04017000056']"
198,['04005000041' '04007000032' '04007000033' '04007000035' '04007000039']
199,"['04007000008' '04007000010' '04007000012' '04021000001' '04021000004'
 '04021000103']"
200,"['04003000007' '04003000023' '04009000002' '04009000003' '04009000013'
 '04009000014' '04009000016' '04009000021' '04011000001' '04011000005'
 '04011000007' '04011000008']"
201,"['04009000001' '04009000003' '04009000004' '04009000005' '04009000014'
 '04009000022']"
202,"['04009000001' '04009000002' '04009000004' '04009000006' '04009000007'
 '04009000016' '04009000018' '04009000022']"
203,"['04009000002' '04009000003' '04009000005' '04009000015' '04009000017'
 '04009000018']"
204,"['04009000002' '04009000004' '04009000014' '04009000015' '04009000019'
 '04009000020']"
205,['04009000003' '04009000007' '04009000008' '04009000009' '04009000016']
206,['04009000003' '04009000006' '04009000008' '04009000017' '04009000018']
207,['04009000006' '04009000007' '04009000009' '04009000017']
208,"['04009000006' '04009000008' '04009000010' '04009000012' '04009000013'
 '04009000016' '04009000017']"
209,['04009000009' '04009000011' '04009000012' '04009000016']
210,['04009000010' '04009000012' '04009000016' '04021000004' '04021000103']
211,"['04009000009' '04009000010' '04009000011' '04009000013' '04021000004'
 '04021000006']"
212,"['04003000007' '04003000021' '04003000047' '04003000048' '04009000001'
 '04009000009' '04009000012' '04009000017' '04009000021' '04019000046'
 '04021000005' '04021000006']"
213,['04009000001' '04009000002' '04009000005' '04009000020' '04009000021']
214,['04009000004' '04009000005' '04009000017' '04009000019' '04009000020']
215,"['04001000005' '04001000100' '04007000010' '04007000011' '04009000001'
 '04009000003' '04009000006' '04009000009' '04009000010' '04009000011'
 '04011000001' '04017000056' '04021000103']"
216,"['04009000004' '04009000007' '04009000008' '04009000009' '04009000013'
 '04009000015' '04009000018' '04009000019' '04009000021']"
217,['04009000003' '04009000004' '04009000007' '04009000017']
218,['04009000005' '04009000015' '04009000017' '04009000020' '04009000021']
219,['04009000005' '04009000014' '04009000015' '04009000019' '04009000021']
220,"['04009000001' '04009000013' '04009000014' '04009000017' '04009000019'
 '04009000020']"
221,['04009000002' '04009000003']
222,['04001000005' '04009000001' '04009000016' '04011000002' '04011000005']
223,['04001000005' '04011000001' '04011000004' '04011000005' '04011000007']
224,['04011000004' '04011000005' '04011000006' '04011000007']
225,['04011000002' '04011000003' '04011000005' '04011000007']
226,"['04009000001' '04011000001' '04011000002' '04011000003' '04011000004'
 '04011000006' '04011000007']"
227,['04011000003' '04011000005']
228,"['04009000001' '04011000002' '04011000003' '04011000004' '04011000005'
 '04011000008']"
229,['04003000023' '04009000001' '04011000007']
230,['04012000052' '04012000054' '04012000055']
231,['04012000051' '04012000055' '04012000058' '04012000060']
232,['04012000051' '04012000055' '04012000062' '04015000220']
233,['04012000051' '04012000052' '04012000054' '04012000058' '04012000062']
234,"['04012000057' '04012000062' '04013000007' '04015000201' '04015000220'
 '04025000016']"
235,"['04012000056' '04012000058' '04012000060' '04012000062' '04012000064'
 '04013000007' '04013000288' '04013000561' '04027000P18' '04027000P19']"
236,"['04012000052' '04012000055' '04012000057' '04012000060' '04012000062'
 '04012000064']"
237,['04012000060' '04012ZZZZZZ' '04027000P18']
238,"['04012000052' '04012000057' '04012000058' '04012000059' '04012000064'
 '04012ZZZZZZ' '04027000P18']"
239,"['04012000054' '04012000055' '04012000056' '04012000057' '04012000058'
 '04015000220']"
240,['04012000057' '04012000058' '04012000060']
241,['04012000059' '04012000060']
242,"['04013000050' '04013000106' '04013000344' '04013000393' '04013000396'
 '04013000515' '04013000591' '04013000742']"
243,"['04013000023' '04013000059' '04013000089' '04013000141' '04013000510'
 '04013000661' '04013000703']"
244,"['04013000160' '04013000313' '04013000367' '04013000389' '04013000392'
 '04013000402' '04013000542']"
245,['04013000052' '04013000151' '04013000183' '04013000430' '04013000552']
246,"['04013000061' '04013000576' '04013000586' '04013000679' '04013000724'
 '04021000061']"
247,['04013000077' '04013000150' '04013000216' '04013000423' '04013000590']
248,['04012000056' '04012000057' '04013000561' '04013000728' '04025000016']
249,"['04013000348' '04013000509' '04013000614' '04013000615' '04013000616'
 '04013000717']"
250,"['04013000014' '04013000137' '04013000146' '04013000209' '04013000388'
 '04013000474' '04013000731']"
251,['04013000105' '04013000128' '04013000255' '04013000426' '04013000692']
252,"['04013000066' '04013000079' '04013000085' '04013000139' '04013000172'
 '04013000246' '04013000414' '04013000451' '04013000705']"
253,"['04013000138' '04013000268' '04013000313' '04013000392' '04013000545'
 '04013000585']"
254,"['04013000153' '04013000277' '04013000303' '04013000351' '04013000603'
 '04013000621' '04013000636']"
255,"['04013000009' '04013000209' '04013000342' '04013000371' '04013000388'
 '04013000420' '04013000533' '04013000704' '04013000730']"
256,"['04013000089' '04013000145' '04013000273' '04013000333' '04013000370'
 '04013000500' '04013000628' '04013000643']"
257,['04013000158' '04013000189' '04013000282' '04013000378' '04013000670']
258,['04013000242' '04013000263' '04013000440' '04013000587' '04013000746']
259,"['04013000173' '04013000278' '04013000373' '04013000422' '04013000432'
 '04013000438' '04013000683']"
260,['04013000304' '04013000305' '04013000323' '04013000440' '04013000452']
261,"['04013000030' '04013000043' '04013000059' '04013000273' '04013000333'
 '04013000706']"
262,"['04013000114' '04013000329' '04013000484' '04013000522' '04013000652'
 '04013000665' '04013000696']"
263,['04013000053' '04013000163' '04013000233' '04021000042' '04021000056']
264,"['04013000002' '04013000033' '04013000059' '04013000177' '04013000244'
 '04013000661' '04013000706' '04013000716']"
265,"['04013000155' '04013000252' '04013000379' '04013000468' '04013000672'
 '04013000688']"
266,"['04013000061' '04013000101' '04013000117' '04013000253' '04013000356'
 '04013000364' '04013000446' '04013000669']"
267,"['04013000080' '04013000147' '04013000223' '04013000252' '04013000262'
 '04013000279' '04013000379' '04013000383' '04013000668']"
268,"['04013000338' '04013000408' '04013000499' '04013000501' '04013000502'
 '04013000627' '04013000667']"
269,"['04013000229' '04013000274' '04013000315' '04013000360' '04013000598'
 '04013000614']"
270,"['04013000256' '04013000288' '04013000316' '04013000405' '04013000583'
 '04013000671' '04027000P19']"
271,['04013000020' '04013000043' '04013000384' '04013000597' '04013000706']
272,"['04013000159' '04013000201' '04013000477' '04013000512' '04013000535'
 '04013000558' '04013000624']"
273,"['04013000120' '04013000132' '04013000304' '04013000318' '04013000328'
 '04013000452' '04013000462' '04013000573']"
274,"['04013000023' '04013000177' '04013000330' '04013000536' '04013000590'
 '04013000716']"
275,"['04013000069' '04013000212' '04013000286' '04013000340' '04013000341'
 '04013000398' '04013000445' '04013000712']"
276,['04013000083' '04013000372' '04013000517']
277,['04013000148' '04013000208' '04013000596']
278,"['04013000121' '04013000158' '04013000188' '04013000267' '04013000465'
 '04013000472' '04013000574']"
279,"['04013000074' '04013000112' '04013000198' '04013000243' '04013000265'
 '04013000366' '04013000568' '04013000634']"
280,"['04013000071' '04013000224' '04013000310' '04013000332' '04013000476'
 '04013000553' '04013000589']"
281,"['04013000152' '04013000248' '04013000249' '04013000311' '04013000431'
 '04013000481' '04013000502' '04013000667']"
282,"['04013000320' '04013000339' '04013000469' '04013000481' '04013000580'
 '04013000627' '04013000726']"
283,"['04013000128' '04013000129' '04013000159' '04013000235' '04013000255'
 '04013000443' '04013000569' '04013000595']"
284,"['04013000020' '04013000030' '04013000285' '04013000333' '04013000334'
 '04013000384' '04013000430' '04013000521' '04013000706']"
285,['04013000090' '04013000133' '04013000251' '04013000479' '04013000560']
286,"['04013000048' '04013000110' '04013000283' '04013000390' '04013000453'
 '04013000473' '04013000478' '04013000554']"
287,['04013000100' '04013000434' '04013000491' '04013000528']
288,"['04013000084' '04013000204' '04013000290' '04013000295' '04013000300'
 '04013000385' '04013000542' '04013000548' '04013000620' '04013000649']"
289,"['04013000045' '04013000123' '04013000283' '04013000453' '04013000525'
 '04013000554']"
290,"['04013000168' '04013000183' '04013000250' '04013000352' '04013000439'
 '04013000444' '04013000662' '04013000677' '04013000714']"
291,"['04013000001' '04013000106' '04013000142' '04013000175' '04013000421'
 '04013000591' '04013000623' '04013000651' '04013000653' '04013000675'
 '04013000736']"
292,['04013000182' '04013000206' '04013000269' '04013000277' '04013000603']
293,['04013000004' '04013000343' '04013000430' '04013000552' '04013000663']
294,"['04013000022' '04013000163' '04013000226' '04013000455' '04021000042'
 '04021000043']"
295,['04013000153' '04013000206' '04013000303' '04013000603' '04013000629']
296,"['04013000064' '04013000131' '04013000173' '04013000373' '04013000432'
 '04013000480' '04013000599' '04013000699']"
297,"['04013000169' '04013000278' '04013000422' '04013000552' '04013000588'
 '04013000663' '04013000732']"
298,['04013000130' '04013000150' '04013000303' '04013000347' '04013000629']
299,"['04013000309' '04013000397' '04013000407' '04013000434' '04013000491'
 '04013000545' '04013000585' '04013000712']"
300,"['04013000002' '04013000020' '04013000023' '04013000089' '04013000244'
 '04013000273' '04013000706']"
301,"['04013000179' '04013000208' '04013000375' '04013000506' '04013000507'
 '04013000665']"
