,neighbors
114,"['32003001411' '32003001510' '32003001511' '32003001520' '32003001675'
 '32003001681' '32003001935']"
115,['32003001384' '32003001509' '32003001525' '32003001528']
116,['32003001349' '32003001365' '32003001668' '32003001711']
117,"['32003001602' '32003001603' '32003001604' '32003006463' '32003006703'
 '32003006707' '32003006708' '32003006709']"
118,"['32003001601' '32003001603' '32003001604' '32003001605' '32003001612'
 '32003006057' '32003006708' '32003006709']"
119,"['32003001601' '32003001602' '32003001604' '32003006463' '32003006703'
 '32003006730' '32003006737']"
120,"['32003001039' '32003001601' '32003001602' '32003001603' '32003001605'
 '32003001612' '32003006737']"
121,"['32003001602' '32003001604' '32003001611' '32003001612' '32003006057'
 '32003006709']"
122,['32003001391' '32003001396' '32003001410' '32003001411' '32003001608']
123,"['32003001304' '32003001307' '32003001609' '32003006656' '32003006658'
 '32003006720' '32003006725']"
124,"['32003001390' '32003001391' '32003001394' '32003001395' '32003001396'
 '32003001411' '32003001520' '32003001606']"
125,"['32003001304' '32003001307' '32003001607' '32003001618' '32003001619'
 '32003001695']"
126,"['32003001605' '32003001612' '32003001613' '32003001614' '32003006057'
 '32003006440']"
127,"['32003001039' '32003001602' '32003001604' '32003001605' '32003001611'
 '32003001613' '32003001614' '32003006737']"
128,"['32003001611' '32003001612' '32003001614' '32003001615' '32003001621'
 '32003001623' '32003006057' '32003006440']"
129,"['32003001038' '32003001039' '32003001611' '32003001612' '32003001613'
 '32003001623']"
130,['32003001613' '32003001621' '32003006440' '32003006704']
131,['32003001039' '32003001302' '32003001303' '32003001617' '32003006737']
132,"['32003001038' '32003001039' '32003001302' '32003001303' '32003001616'
 '32003001651' '32003001661' '32003001664']"
133,"['32003001304' '32003001307' '32003001318' '32003001609' '32003001619'
 '32003001695']"
134,"['32003001307' '32003001318' '32003001609' '32003001618' '32003001703'
 '32003006724' '32003006725' '32003006740']"
135,"['32003001613' '32003001615' '32003001623' '32003001624' '32003001625'
 '32003001631' '32003006062' '32003006704']"
136,"['32003001038' '32003001613' '32003001614' '32003001621' '32003001624'
 '32003001625' '32003001661']"
137,['32003001621' '32003001623' '32003001625' '32003001631']
138,"['32003001038' '32003001621' '32003001623' '32003001624' '32003001631'
 '32003001632' '32003001661' '32003001662']"
139,"['32003001621' '32003001624' '32003001625' '32003001632' '32003001633'
 '32003006062' '32003006431' '32003006434' '32003006704']"
140,"['32003001625' '32003001631' '32003001633' '32003001641' '32003001653'
 '32003001661' '32003001662']"
141,"['32003001631' '32003001632' '32003001634' '32003001635' '32003001641'
 '32003006431' '32003006434']"
142,"['32003001633' '32003001635' '32003001642' '32003006040' '32003006066'
 '32003006434']"
143,['32003001633' '32003001634' '32003001641' '32003001642']
144,"['32003001632' '32003001633' '32003001635' '32003001642' '32003001653'
 '32003001655' '32003001662']"
145,"['32003001634' '32003001635' '32003001641' '32003001643' '32003001645'
 '32003001655' '32003006040' '32003006710']"
146,"['32003001642' '32003001645' '32003001655' '32003001665' '32003005588'
 '32003006710' '32003007502']"
147,"['32003001645' '32003001651' '32003001652' '32003001655' '32003001665'
 '32003001683' '32003001691' '32003001694' '32003001695']"
148,"['32003001642' '32003001643' '32003001644' '32003001655' '32003001665'
 '32003001683' '32003007502']"
149,"['32003001303' '32003001304' '32003001617' '32003001644' '32003001652'
 '32003001655' '32003001664' '32003001694' '32003001695']"
150,"['32003001644' '32003001651' '32003001653' '32003001655' '32003001662'
 '32003001664']"
151,"['32003001632' '32003001641' '32003001652' '32003001655' '32003001662'
 '32003001664']"
