,neighbors
121,"['39005003AAG' '39005003AAH' '39005003AAQ' '39005003AAV' '39005003AAZ'
 '39005003ABC']"
122,['39005003AAG' '39005003AAZ' '39005003ABB' '39005003ABZ' '39005003ACF']
123,"['39005003ABZ' '39005003ACA' '39005003ACF' '39005003ACI' '39005003ACJ'
 '39005003ACN' '39139070ABM' '39139070ADF']"
124,"['39005003ABJ' '39005003ABN' '39005003ACS' '39005003ACV' '39139070ACG'
 '39139070ACH' '39139070ADH']"
125,"['39005003ABI' '39005003ABN' '39005003ABO' '39005003ABV' '39005003ACC'
 '39005003ACS' '39005003ACT' '39075038AAY']"
126,"['39005003ABI' '39005003ABJ' '39005003ABO' '39075038AAL' '39075038AAY'
 '39083042AAQ' '39083042ABG' '39139070ACH' '39139070ADH']"
127,['39005003ABJ' '39005003ABN' '39075038AAY']
128,['39005003ABT' '39005003ACI' '39005003ACP' '39103052AEC']
129,"['39005003ABS' '39005003ACF' '39005003ACI' '39005003ACM' '39103052AEC'
 '39169085ACO']"
130,['39005003ABJ' '39005003ACC' '39005003ACT' '39075038AAY' '39169085ACJ']
131,"['39005003AAD' '39005003AAG' '39005003AAH' '39005003AAJ' '39005003ABC'
 '39005003ABG' '39005003ACA' '39005003ACF' '39005003ACI']"
132,"['39005003AAD' '39005003AAF' '39005003AAJ' '39005003ABG' '39005003ABZ'
 '39005003ACH' '39005003ACT' '39005003ACV' '39139070ABM' '39139070ACA'
 '39139070ADF']"
133,['39005003ACC']
134,"['39005003ABJ' '39005003ABV' '39005003ACB' '39005003ACE' '39005003ACM'
 '39005003ACT' '39169085ABZ' '39169085ACJ' '39169085ADF']"
135,"['39005003AAU' '39005003ACC' '39005003ACF' '39005003ACH' '39005003ACM'
 '39005003ACT']"
136,"['39005003AAU' '39005003AAV' '39005003AAZ' '39005003ABC' '39005003ABG'
 '39005003ABT' '39005003ABZ' '39005003ACE' '39005003ACI' '39005003ACM']"
137,"['39005003AAA' '39005003AAB' '39005003AAF' '39005003AAU' '39005003ACA'
 '39005003ACE' '39005003ACT' '39005003ACV']"
138,"['39005003ABG' '39005003ABS' '39005003ABT' '39005003ABZ' '39005003ACF'
 '39005003ACJ' '39005003ACP' '39005003ACQ']"
139,['39005003ABG' '39005003ACI' '39005003ACN' '39005003ACQ']
140,"['39005003ABT' '39005003ACC' '39005003ACE' '39005003ACF' '39005003ACT'
 '39169085ABX' '39169085ABZ' '39169085ACO' '39169085ADF']"
141,"['39005003ABG' '39005003ACJ' '39005003ACQ' '39077039ABN' '39077039ABP'
 '39077039ABX' '39077039ABZ' '39093047AKE' '39139070ABM']"
142,"['39005003ACP' '39005003ACQ' '39093047AJX' '39093047AKE' '39103052AEC'
 '39103052AFH']"
143,['39005003ABS' '39005003ACI' '39005003ACO' '39005003ACQ' '39103052AEC']
144,"['39005003ACI' '39005003ACJ' '39005003ACN' '39005003ACO' '39005003ACP'
 '39077039ABX' '39093047AJX' '39093047AKE']"
145,['39005003ABI' '39005003ABJ' '39005003ACT' '39005003ACV' '39139070ACG']
146,"['39005003ABJ' '39005003ABV' '39005003ACA' '39005003ACC' '39005003ACE'
 '39005003ACH' '39005003ACM' '39005003ACS' '39005003ACV']"
147,"['39005003ABI' '39005003ACA' '39005003ACH' '39005003ACS' '39005003ACT'
 '39139070ACA' '39139070ACB' '39139070ACD' '39139070ACG']"
148,['39007004AAB' '39007004AAC' '39007004AAE' '39007004AEJ' '39007004AEM']
149,"['39007004AAA' '39007004AAC' '39007004AAH' '39007004AAM' '39007004AEM'
 '39007ZZZZZZ']"
150,"['39007004AAA' '39007004AAB' '39007004AAE' '39007004AAH' '39007004AAO'
 '39007004AEJ']"
151,['39007004AAA' '39007004AAC' '39007004AEJ']
152,"['39007004AAB' '39007004AAC' '39007004AAI' '39007004AAJ' '39007004AAM'
 '39007004AAN' '39007004AAO' '39007ZZZZZZ']"
153,['39007004AAH' '39007004AAJ' '39007004AAN' '39007004ACH' '39007004ACI']
154,['39007004AAH' '39007004AAI' '39007004ACH' '39007ZZZZZZ']
