,neighbors
184,"['48025000002' '48025000005' '48255000004' '48255000011' '48297000006'
 '48297000007']"
185,['48025000002' '48025000005' '48025000008']
186,"['48025000002' '48025000003' '48025000006' '48025000009' '48025000010'
 '48025000017' '48025000018' '48297000001' '48297000005' '48297000013']"
187,"['48025000004' '48025000006' '48297000001' '48409000105' '48409000117'
 '48409000118']"
188,['48025000001' '48025000018']
189,['48025000001' '48025000009' '48025000013' '48025000018' '48025000019']
190,"['48025000001' '48025000002' '48025000008' '48025000013' '48025000016'
 '48025000017']"
191,['48025000001' '48025000009' '48025000010' '48025000017']
192,['48027000102' '48027000103' '48027000104' '48027000110' '48027000111']
193,"['48027000101' '48027000103' '48027000104' '48027000105' '48027000305'
 '48027000315' '48027000317']"
194,"['48027000101' '48027000102' '48027000105' '48027000108' '48027000111'
 '48027000113' '48027000203']"
195,['48027000101' '48027000102' '48027000110' '48027000311' '48027000315']
196,"['48027000102' '48027000103' '48027000108' '48027000304' '48027000312'
 '48027000317']"
197,['48027000109' '48027000110' '48027000201' '48027000204']
198,['48027000108' '48027000203' '48331000105' '48491000425']
199,"['48027000103' '48027000105' '48027000107' '48027000113' '48027000203'
 '48027000312' '48331000105']"
200,['48027000106' '48027000110' '48027000204' '48027000410']
201,"['48027000101' '48027000104' '48027000106' '48027000109' '48027000111'
 '48027000201' '48027000311' '48027000404' '48027000406' '48027000408'
 '48027000410' '48099000309' '48099000311']"
202,"['48027000101' '48027000103' '48027000110' '48027000201' '48027000202'
 '48027000203' '48027000209']"
203,['48027000103' '48027000108' '48027000203']
204,"['48027000106' '48027000110' '48027000111' '48027000202' '48027000204'
 '48027000208' '48027000209']"
205,['48027000111' '48027000201' '48027000209']
206,"['48027000103' '48027000107' '48027000108' '48027000111' '48027000113'
 '48027000209' '48027000210' '48027000402' '48491000310' '48491000312'
 '48491000425']"
207,"['48027000106' '48027000109' '48027000201' '48027000205' '48027000208'
 '48027000406' '48027000410']"
208,['48027000204' '48027000207' '48027000208' '48027000406' '48027000408']
209,['48027000207' '48027000208' '48027000210' '48027000408' '48027000409']
210,['48027000205' '48027000206' '48027000208' '48027000406' '48027000408']
211,"['48027000201' '48027000204' '48027000205' '48027000206' '48027000207'
 '48027000209' '48027000210']"
212,"['48027000111' '48027000201' '48027000202' '48027000203' '48027000208'
 '48027000210']"
213,"['48027000203' '48027000206' '48027000208' '48027000209' '48027000402'
 '48027000409']"
214,"['48027000302' '48027000303' '48027000304' '48027000309' '48027000311'
 '48027000315' '48145000303' '48145000403' '48145000404' '48309000076'
 '48309000077']"
215,"['48027000301' '48027000303' '48027000305' '48027000306' '48027000314'
 '48027000315']"
216,['48027000301' '48027000302' '48027000304' '48027000306' '48027000307']
217,"['48027000105' '48027000301' '48027000303' '48027000306' '48027000307'
 '48027000308' '48027000309' '48027000312' '48027000317']"
218,"['48027000102' '48027000302' '48027000313' '48027000314' '48027000315'
 '48027000317']"
219,"['48027000302' '48027000303' '48027000304' '48027000307' '48027000308'
 '48027000314']"
220,['48027000303' '48027000304' '48027000306']
221,['48027000304' '48027000306' '48027000313' '48027000314' '48027000317']
222,['48027000301' '48027000304' '48027000310' '48027000312' '48145000303']
223,"['48027000309' '48027000312' '48145000303' '48331000101' '48331000105'
 '48331000212']"
224,"['48027000104' '48027000110' '48027000301' '48027000315' '48099000309'
 '48099000310' '48309000077']"
225,"['48027000105' '48027000108' '48027000304' '48027000309' '48027000310'
 '48331000101' '48331000105']"
226,['48027000305' '48027000308' '48027000314' '48027000317']
227,['48027000302' '48027000305' '48027000306' '48027000308' '48027000313']
228,"['48027000102' '48027000104' '48027000301' '48027000302' '48027000305'
 '48027000311']"
229,"['48027000102' '48027000105' '48027000304' '48027000305' '48027000308'
 '48027000313']"
230,"['48027000402' '48027000409' '48027000413' '48053000016' '48099000207'
 '48099000412' '48281000001' '48281000008']"
231,"['48027000203' '48027000210' '48027000401' '48027000409' '48053000015'
 '48053000016' '48491000310']"
232,"['48027000110' '48027000405' '48027000406' '48027000408' '48027000412'
 '48027000413' '48099000311']"
