,neighbors
139,"['17007001010' '17007001015' '17007001016' '17007005001' '17007006002'
 '17007006003' '1711100Ma01' '1711100Ma03' '1711100RL01']"
140,"['17007001016' '17007006001' '17007007001' '17007009001' '17007009002'
 '1711100Du01' '1711100Ma03']"
141,"['17007001009' '17007001010' '17007001015' '17007001016' '17007002001'
 '17007005001' '17007006001']"
142,"['17007006002' '17007007002' '17007008001' '17007009002' '1711100Ch05'
 '1711100Du01' '1711100Ma03']"
143,['17007007001']
144,['17007004001' '17007007001' '17007009002' '1711100Ch05' '1711100Du01']
145,['17007001016' '17007003001' '17007006002' '17007009002' '17007009003']
146,"['17007001016' '17007003001' '17007003003' '17007004001' '17007006002'
 '17007007001' '17007008001' '17007009001' '17007009003']"
147,['17007003003' '17007009001' '17007009002']
148,"['17001010001' '17001011001' '17001012001' '17009000301' '17009000401'
 '17009000603' '17149000601' '17149001101']"
149,"['17009000301' '17009000501' '17009000601' '17009000602' '17009000603'
 '17009000801' '17009000901' '17017000307' '17017000609' '17169001101'
 '17169001201']"
150,"['17009000101' '17009000201' '17009000401' '17009000603' '17009000901'
 '17009000902' '17149000101' '17149000601' '17149001101']"
151,"['17001001001' '17001010001' '17009000101' '17009000301' '17009000603'
 '17009000604' '17009000605' '17009000701']"
152,"['17009000201' '17009000601' '17009000604' '17009000701' '17009000801'
 '17169000501' '17169000601' '17169001101']"
153,['17009000201' '17009000501' '17009000602' '17009000604' '17009000801']
154,['17009000201' '17009000601' '17009000603' '17009000604' '17009000605']
155,"['17009000101' '17009000201' '17009000301' '17009000401' '17009000602'
 '17009000605' '17009000901']"
156,"['17009000401' '17009000501' '17009000601' '17009000602' '17009000605'
 '17009000701']"
157,['17009000401' '17009000602' '17009000603' '17009000604']
158,"['17001001001' '17001010001' '17009000401' '17009000501' '17009000604'
 '17169000501' '17169000601']"
159,['17009000201' '17009000501' '17009000601' '17169001101']
160,['17009000201' '17009000301' '17009000603' '17009000902' '17017000609']
161,"['17009000301' '17009000901' '17017000609' '1713700MD01' '17149000101'
 '17149000601']"
162,"['17011002001' '17011007001' '17011008001' '1709900MN02' '1709900MN06'
 '1709900MN07' '1709900TG01' '1709900TG02' '1710300SB01']"
163,"['17011001001' '17011002002' '17011007001' '17011008001' '1710300MY01'
 '1710300SB01']"
164,"['17011002001' '17011003001' '17011003002' '17011008001' '17011009001'
 '1710300MY01']"
165,['17011002002' '17011003002' '17011004002' '1710300EG01' '1710300MY01']
166,"['17011002002' '17011003001' '17011004002' '17011008001' '17011009001'
 '17011010001']"
167,['17011004002' '17011005001' '17011010001' '17011011001' '1710300HM01']
168,"['17011003001' '17011003002' '17011004001' '17011009001' '17011010001'
 '1710300EG01' '1710300HM01']"
169,"['17011004001' '17011006001' '17011010001' '17011011001' '17011012001'
 '1710300HM01' '1719500HA01']"
170,"['17011005001' '17011011001' '17011012001' '17073000501' '17073001001'
 '1719500HA01' '1719500PR01' '1719500TA01']"
171,"['17011001001' '17011002001' '17011007002' '17011008001' '1709900DI01'
 '1709900TG01']"
172,"['17011007001' '17011008001' '17011013005' '17011013009' '17011014001'
 '1709900DI01']"
173,"['17011001001' '17011002001' '17011002002' '17011003002' '17011007001'
 '17011007002' '17011009001' '17011013005' '17011014001' '17011015006']"
174,"['17011002002' '17011003002' '17011004002' '17011008001' '17011010001'
 '17011014001' '17011015004' '17011015005' '17011015006' '17011016002']"
175,"['17011003002' '17011004001' '17011004002' '17011005001' '17011009001'
 '17011011001' '17011015004' '17011016002' '17011017002']"
176,"['17011004001' '17011005001' '17011006001' '17011010001' '17011012001'
 '17011016002' '17011017001' '17011017002' '17011018001']"
177,"['17011005001' '17011006001' '17011011001' '17011017001' '17011018001'
 '17073000501' '17073001001' '17073001501']"
178,"['17011013002' '17011013003' '17011013008' '17011013010' '17155000101'
 '17155000104']"
179,['17011013001' '17011013003' '17011013006' '17011013008' '17155000104']
180,"['17011013001' '17011013002' '17011013006' '17011013007' '17011013008'
 '17011013009']"
181,['17011013009']
182,"['17011007002' '17011008001' '17011013006' '17011013009' '17011014001'
 '17011014003' '17011019001' '17155000103' '17155000104']"
183,['17011013002' '17011013003' '17011013005' '17011013009' '17155000104']
184,"['17011013003' '17011013008' '17011013009' '17011013010' '1709900DI01'
 '1709900PR07' '1709900PR08']"
185,"['17011013001' '17011013002' '17011013003' '17011013007' '17011013009'
 '17011013010']"
186,"['17011007002' '17011013003' '17011013004' '17011013005' '17011013006'
 '17011013007' '17011013008' '1709900DI01']"
187,"['17011013001' '17011013007' '17011013008' '1709900PR04' '1709900PR07'
 '17155000101']"
188,"['17011007002' '17011008001' '17011009001' '17011013005' '17011014002'
 '17011014003' '17011015006']"
189,"['17011014001' '17011014003' '17011015006' '17011015009' '17011019001'
 '17011020001']"
190,['17011013005' '17011014001' '17011014002' '17011019001']
191,"['17011015002' '17011015008' '17011015009' '17011016001' '17011016002'
 '17011020001' '17011021001']"
192,"['17011015001' '17011015003' '17011015004' '17011015007' '17011015008'
 '17011016002']"
193,['17011015002' '17011015004' '17011015005' '17011015007']
194,"['17011009001' '17011010001' '17011015002' '17011015003' '17011015005'
 '17011016002']"
195,['17011009001' '17011015003' '17011015004' '17011015006' '17011015007']
196,"['17011008001' '17011009001' '17011014001' '17011014002' '17011015005'
 '17011015007' '17011015008' '17011015009']"
197,['17011015002' '17011015003' '17011015005' '17011015006' '17011015008']
198,['17011015001' '17011015002' '17011015006' '17011015007' '17011015009']
199,"['17011014002' '17011015001' '17011015006' '17011015008' '17011019001'
 '17011020001']"
200,"['17011015001' '17011016002' '17011017002' '17011020001' '17011021001'
 '17011022001']"
201,"['17011009001' '17011010001' '17011011001' '17011015001' '17011015002'
 '17011015004' '17011016001' '17011017002']"
202,"['17011011001' '17011012001' '17011017002' '17011018001' '17011022001'
 '17011023001']"
203,"['17011010001' '17011011001' '17011016001' '17011016002' '17011017001'
 '17011022001']"
204,"['17011011001' '17011012001' '17011017001' '17011022001' '17011023001'
 '17073001501' '17073002003']"
205,"['17011013005' '17011014002' '17011014003' '17011015009' '17011020001'
 '17155000103' '17155000301' '17155000401']"
206,"['17011014002' '17011015001' '17011015009' '17011016001' '17011019001'
 '17011021001' '17011024001' '17155000401']"
207,"['17011015001' '17011016001' '17011020001' '17011022001' '17011024001'
 '17011025001']"
208,"['17011016001' '17011017001' '17011017002' '17011018001' '17011021001'
 '17011023001' '17011025001' '1717500OSCE']"
209,"['17011017001' '17011018001' '17011022001' '17073002003' '17073002009'
 '1717500ELMR' '1717500OSCE']"
210,"['17011020001' '17011021001' '17011025001' '17123010001' '17123012001'
 '17155000401']"
211,"['17011021001' '17011022001' '17011024001' '17123010001' '17123012001'
 '1717500OSCE' '1717500PENN']"
212,"['17013000002' '17013000003' '17149000501' '17149001001' '17149001501'
 '17149001901']"
213,"['17013000001' '17013000003' '17013000004' '17061000201' '17061001001'
 '17061001202' '17149000501' '17149001001']"
214,['17013000001' '17013000002' '17013000004' '17013000005']
215,"['17013000002' '17013000003' '17013000005' '17013000006' '17061001202'
 '17083000901' '17083001001']"
216,['17013000003' '17013000004' '17013000006']
217,['17013000004' '17013000005' '17013000007' '17083000802' '17083001001']
218,['17013000006' '17083000802']
219,"['1701500CS02' '1701500FD00' '1701500RL01' '1701500RL02' '17177000101'
 '17177000201' '17177000301']"
220,"['1701500CS01' '1701500RL02' '17141000001' '17141000022' '17141000023'
 '17141000024' '17177000201' '17177000301']"
221,"['1701500RL02' '1701500WY01' '1701500WY02' '17141000010' '1719500GE01'
 '1719500JO01']"
222,"['1701500CS01' '1701500MC01' '1701500RL01' '1701500SM00' '1701500WD00'
 '17085000201' '17085001201' '17177000101']"
223,"['1701500MC02' '1701500RL01' '1701500SM00' '1701500WY01' '1701500WY02'
 '1701500YK00' '1719500CL01' '1719500GE01' '1719500US01']"
224,['1701500FD00' '1701500MC02' '1701500MC03' '1701500SM00' '1701500WD00']
225,"['1701500FH00' '1701500MC01' '1701500MC03' '1701500SA04' '1701500SA05'
 '1701500SA06' '1701500SM00' '1701500WD00' '1701500WN00' '1701500YK00']"
226,['1701500MC01' '1701500MC02' '1701500SM00']
227,"['1701500CS01' '1701500FD00' '1701500FH00' '1701500RL02' '1701500SM00'
 '1701500WY01']"
228,"['1701500CS01' '1701500CS02' '1701500EK00' '1701500RL01' '1701500WY01'
 '17141000001' '17141000010' '17141000024']"
229,['1701500SA02' '1701500SA04' '1701500WN00']
230,['1701500SA01' '1701500SA03' '1701500SA04']
231,['1701500SA02' '1701500SA04' '1701500SA05' '1701500SA06']
