,neighbors
221,"['370210013.1' '370210015.1' '370210024.1' '370210026.1' '370210045.1'
 '370210046.1' '370210047.1' '370210048.1' '370210054.2']"
222,"['370210024.1' '370210026.1' '370210043.2' '370210044.1' '370210048.1'
 '370210068.1']"
223,['370210030.2' '370210044.1' '370210047.1' '370210054.2' '370890000NM']
224,"['370210044.1' '370210046.1' '370210048.1' '370210049.1' '370870000EF'
 '3708700BE-7' '370890000NM' '371750000BD']"
225,['370210044.1' '370210045.1' '370210047.1' '370210049.1' '370210068.1']
226,"['370210047.1' '370210048.1' '370210068.1' '3708700BE-4' '3708700BE-7'
 '3708700BE56']"
227,"['370210032.1' '370210036.1' '370210051.2' '370210059.1' '370210065.1'
 '371150BEECH' '3719910-PEN' '3719911-PRI']"
228,"['370210040.2' '370210050.1' '370210058.1' '370210059.1' '371150BEECH'
 '37115MARS-H']"
229,"['370210041.1' '370210053.1' '370210063.1' '370210068.1' '370210069.1'
 '371150SANDY' '371150SOUTH']"
230,['370210052.1' '370210063.1' '370210068.1' '3708700BE-3' '3708700BE-4']
231,"['370210010.1' '370210012.1' '370210013.1' '370210018.2' '370210019.1'
 '370210029.2' '370210030.2' '370210030.3' '370210031.1' '370210044.1'
 '370210046.1' '370210055.1' '370890000FL' '370890000NM']"
232,"['370210029.2' '370210054.2' '370210056.2' '370210057.1' '370890000FL'
 '370890000HC']"
233,['370210029.2' '370210055.1' '370210057.1']
234,"['370210008.2' '370210019.1' '370210029.2' '370210038.2' '370210038.3'
 '370210055.1' '370210056.2' '370210060.4' '370890000FL' '370890000HC']"
235,"['370210040.2' '370210041.1' '370210051.2' '370210059.1' '370210067.1'
 '370210071.1']"
236,"['370210027.2' '370210050.1' '370210051.2' '370210058.1' '370210061.1'
 '370210065.1' '370210067.1' '370210071.1']"
237,"['370210008.3' '370210009.1' '370210025.1' '370210038.3' '370210039.3'
 '370210060.4' '370210064.1']"
238,"['370210008.2' '370210008.3' '370210038.3' '370210039.3' '370210057.1'
 '370210060.2']"
239,"['370210023.2' '370210023.3' '370210025.1' '370210027.2' '370210059.1'
 '370210062.1' '370210065.1' '370210066.1']"
240,['370210025.1' '370210061.1' '370210064.1' '370210065.1' '370210066.1']
241,"['370210052.1' '370210053.1' '370870000CR' '3708700BE-3' '3708700FC-1'
 '371150SANDY' '37115SPRING']"
242,"['370210025.1' '370210032.1' '370210039.3' '370210060.2' '370210062.1'
 '370210065.1' '370210066.1']"
243,"['370210032.1' '370210050.1' '370210059.1' '370210061.1' '370210062.1'
 '370210064.1' '370210066.1']"
244,['370210061.1' '370210062.1' '370210064.1' '370210065.1']
245,['370210058.1' '370210059.1' '370210071.1']
246,"['370210014.3' '370210016.2' '370210042.1' '370210043.2' '370210045.1'
 '370210048.1' '370210049.1' '370210052.1' '370210053.1' '370210069.1'
 '370210070.1' '3708700BE-4']"
247,['370210041.1' '370210052.1' '370210068.1' '370210070.1' '370210071.1']
248,"['370210002.1' '370210005.1' '370210014.2' '370210028.1' '370210042.1'
 '370210068.1' '370210069.1' '370210071.1']"
249,"['370210005.1' '370210027.2' '370210041.1' '370210058.1' '370210059.1'
 '370210067.1' '370210069.1' '370210070.1']"
250,"['37023000003' '37023000021' '37023000024' '37023000038' '37023000066'
 '3702700PR21']"
251,['37023000001' '37023000012' '37023000021' '37023000036' '37023000038']
252,"['37023000013' '37023000014' '37023000015' '37023000022' '3702700PR14'
 '3702700PR24' '3702700PR25']"
253,"['37023000003' '37023000013' '37023000014' '37023000021' '37023000024'
 '37023000036' '370230029-A' '37035000002' '37035000024']"
254,"['37023000011' '37023000012' '37023000014' '37023000015' '37035000017'
 '37035000019' '37035000024']"
255,['37023000011' '37023000012' '37023000013' '37023000022' '37023000024']
256,"['37023000011' '37023000013' '3702700PR14' '3702700PR34' '37035000017'
 '37035000019' '37035000026']"
257,"['37011000001' '37011000004' '37011000016' '37023000062' '3702700PR07'
 '37111N.COVE']"
258,"['37023000020' '37023000051' '37023000052' '37023000062' '3711100NEBO'
 '371110MAR-1' '37111N.COVE' '37111T.COVE']"
259,['37023000019' '37023000051' '37023000062' '370230047-A']
260,['37023000001' '37023000003' '37023000012' '37023000024' '37023000036']
261,['37023000011' '37023000014' '37023000024' '3702700PR21' '3702700PR25']
262,"['37023000001' '37023000012' '37023000014' '37023000021' '37023000022'
 '3702700PR21']"
263,"['37023000034' '37023000035' '37023000038' '37023000039' '37023000048'
 '37023000070' '370230047-A']"
264,['37023000031' '37023000040' '37023000048' '37023000070' '370230047-A']
265,['37023000031' '37023000038' '37023000048']
266,"['37023000003' '37023000012' '37023000021' '37023000038' '37023000039'
 '37023000064' '37023000065' '37023000070' '370230029-A']"
267,"['37023000001' '37023000003' '37023000031' '37023000035' '37023000036'
 '37023000039' '37023000048' '37023000066']"
268,['37023000031' '37023000036' '37023000038' '37023000070']
269,"['37023000034' '37023000051' '37023000053' '37023000065' '37023000070'
 '370230047-A']"
270,"['37023000031' '37023000034' '37023000035' '37023000038' '37023000062'
 '37023000066' '370230047-A' '370230047-B']"
271,"['37023000019' '37023000020' '37023000040' '37023000052' '37023000053'
 '370230047-A']"
272,"['37023000019' '37023000051' '37023000053' '3711100NEBO' '37111DYSART'
 '3716100010A']"
273,"['37023000040' '37023000051' '37023000052' '37023000064' '37023000065'
 '3716100010A']"
274,"['37023000018' '37023000019' '37023000020' '37023000048' '37023000066'
 '370230047-A' '370230047-B' '3702700PR07' '37111N.COVE']"
275,"['37023000036' '37023000053' '37023000065' '370230029-A' '370230029-B'
 '370450CASAR' '3716100010A']"
276,['37023000036' '37023000040' '37023000053' '37023000064' '37023000070']
277,"['37023000001' '37023000038' '37023000048' '37023000062' '3702700PR01'
 '3702700PR02' '3702700PR07' '3702700PR21']"
278,"['37023000031' '37023000034' '37023000036' '37023000039' '37023000040'
 '37023000065']"
279,"['37023000012' '37023000036' '37023000064' '370230029-B' '37035000002'
 '37035000024']"
280,"['37023000064' '370230029-A' '37035000002' '370450CASAR' '370450MULLS'
 '3710900NB35']"
281,"['37023000020' '37023000031' '37023000034' '37023000040' '37023000048'
 '37023000051' '37023000062' '370230047-B']"
282,['37023000048' '37023000062' '370230047-A']
283,"['37025001-04' '37025001-07' '37025001-08' '37025010-00' '37025011-01'
 '37119000201' '37119000236']"
284,"['37025001-02' '37025001-07' '37025001-11' '37119000201' '37119000203'
 '37119000205']"
285,['37025001-02' '37025001-04' '37025001-08' '37025001-10' '37025001-11']
