,neighbors
105,"['13021000HO1' '13021000HO2' '13021000HO4' '13021000HO5' '13021000HO6'
 '13021000HO7' '13169000009' '13207000001' '13207000003']"
106,"['13021000EM3' '13021000HO3' '13021000HO5' '13021000HO6' '13021000VV1'
 '13021000VV5' '13169000009']"
107,['13021000HO3' '13021000HO4' '13021000HO6' '13021000HO7']
108,"['13021000HO1' '13021000HO3' '13021000HO4' '13021000HO5' '13021000HO7'
 '13021000VV5' '13021000VV6']"
109,['13021000HO1' '13021000HO3' '13021000HO5' '13021000HO6']
110,"['13021000GF3' '13021000GF4' '13021000GF5' '13021000RU2' '13021000WA2'
 '13079000005' '1315300NSES']"
111,"['13021000EM5' '13021000GF1' '13021000GF2' '13021000GF4' '13021000RU1'
 '1315300NSES' '1315300RECR' '132890000GI']"
112,"['13021000EM1' '13021000EM3' '13021000GF1' '13021000HO4' '13021000VV2'
 '13021000VV5' '13021000VV6']"
113,['13021000GF1' '13021000VV1' '13021000VV6']
114,['13021000GF1' '13021000VV4' '13021000VV6']
115,"['13021000GF1' '13021000HA3' '13021000HO1' '13021000HO2' '13021000VV3'
 '13021000VV6']"
116,['13021000HO4' '13021000HO6' '13021000VV1' '13021000VV6']
117,"['13021000GF1' '13021000HO1' '13021000HO6' '13021000VV1' '13021000VV2'
 '13021000VV3' '13021000VV4' '13021000VV5']"
118,"['13021000HA3' '13021000HA4' '13021000WA2' '13079000002' '13079000004'
 '13079000005' '13207000011']"
119,['13021000GF5' '13021000HA3' '13021000RU1' '13021000WA1' '13079000005']
120,"['130910EDDIN' '130910EMPIR' '130910MULLI' '130910YONKE' '13153000VHS'
 '13175000012' '13175000013' '13175000014' '132350ANNEX' '132890000HV'
 '1328900SG/T' '13319000011']"
121,"['13025000002' '1304900005R' '1304900005W' '13229000002' '1322900003A'
 '1322900003B' '13299000400']"
122,"['13025000001' '13025000003' '13039000001' '1304900005W' '1322900003B'
 '1322900004A' '1330500002A' '1330500003B']"
123,"['13025000002' '13039000001' '13127001713' '13127001923' '13127001933'
 '1330500003B']"
124,['13027001199' '13027001402' '13185000007']
125,"['13027001199' '13027001230' '13027001650' '13027001712' '13071000020'
 '130750000NL' '13185000001' '13185000005']"
126,"['13027000659' '13027000660' '13027001230' '13027001402' '13027001650'
 '13185000005' '13185000007']"
127,"['13027000660' '13027001199' '13027001402' '13027001712' '13275000101'
 '13275000102' '13275000117']"
128,['13027000659' '13027001199' '13027001230' '13275000101' '13275000102']
129,['13027000660' '13027001199' '13185000005']
130,['13027000660' '13027001230' '13071000007' '13071000020' '13275000117']
131,['13029000002' '13029FTSTEW' '13031000006' '13031000007' '13109000011']
132,['13029000001' '13029000003' '13029FTSTEW' '13031000005' '13031000006']
133,"['13029000002' '13029FTSTEW' '13031000005' '13031000006' '1305107-08C'
 '1310300001B' '1310300001C']"
134,"['13029000005' '13029000006' '13029000009' '13029000010' '13029FTSTEW'
 '1305106-10C' '1305106-11C' '13179000006' '13179000013']"
135,['13029000004' '13029000006' '13029000008' '13029000009']
136,['13029000004' '13029000005' '13029000008' '1305106-10C' '1305106-11C']
137,['13029000008' '13029000010']
138,"['13029000005' '13029000006' '13029000007' '13029000009' '13029000010'
 '1305106-10C' '13179000003' '13179000006']"
139,['13029000004' '13029000005' '13029000008' '13029000010']
140,['13029000004' '13029000007' '13029000008' '13029000009' '13179000006']
141,"['13029000001' '13029000002' '13029000003' '13029000004' '1305106-11C'
 '1305107-08C' '13109000011' '13179000013']"
142,['13031000002' '13031000012' '13165000005' '13251000004' '13251000005']
143,['13031000001' '13031000003' '13031000012' '13031000014' '13251000004']
144,"['13031000002' '13031000004' '13031000013' '13031000014' '13031000016'
 '13251000004' '13251000012']"
145,"['13031000003' '13031000005' '13031000006' '13031000007' '13031000010'
 '13031000013' '13031000016']"
146,"['13029000002' '13029000003' '13031000004' '13031000006' '13031000016'
 '1310300001B' '1310300003A' '1310300003D']"
147,"['13029000001' '13029000002' '13029000003' '13031000004' '13031000005'
 '13031000007']"
148,"['13029000001' '13031000004' '13031000006' '13031000008' '13031000010'
 '13109000011']"
149,['13031000007' '13031000009' '13031000010' '13043001736' '13109000011']
150,['13031000008' '13031000010' '13031000011' '13031000013' '13043001736']
151,['13031000004' '13031000007' '13031000008' '13031000009' '13031000013']
152,"['13031000009' '13031000012' '13031000013' '13031000014' '13031000015'
 '13043001685' '13043001736']"
153,"['13031000001' '13031000002' '13031000011' '13031000014' '13043001685'
 '13107001429' '13107001560' '13165000005']"
154,"['13031000003' '13031000004' '13031000009' '13031000010' '13031000011'
 '13031000014' '13031000015']"
155,"['13031000002' '13031000003' '13031000011' '13031000012' '13031000013'
 '13031000015']"
156,['13031000011' '13031000013' '13031000014']
157,['13031000003' '13031000004' '13031000005' '1310300003A' '13251000012']
158,"['13033000003' '13033000008' '13033000009' '13033000014' '13033000015'
 '13165000003']"
159,"['13033000005' '13033000006' '13033000012' '13033000014' '13245000801'
 '13245000802' '13245000804' '13245000810' '1324500801B' '1324500804H']"
160,"['13033000001' '13033000009' '13033000011' '13033000014' '13033000015'
 '13251000007']"
161,['13033000012' '13033000013' '13033000016' '13163000077' '13163000082']
162,['13033000002' '13033000011' '13033000014' '13245000802']
163,"['13033000002' '13033000012' '13163000077' '13163000081' '13245000801'
 '1324500801B']"
164,"['13033000010' '13033000013' '13107000052' '13107000057' '13107001333'
 '13163000082']"
165,['13033000001' '13033000010' '13033000015' '13033000016' '13165000003']
166,['13033000001' '13033000003' '13165000003' '13165000004' '13251000007']
167,"['13033000007' '13033000008' '13033000013' '13033000016' '13107001333'
 '13165000003']"
168,['13033000003' '13033000005' '13033000014']
169,"['13033000002' '13033000004' '13033000006' '13033000014' '13033000016'
 '13163000077']"
170,['13033000004' '13033000007' '13033000010' '13033000016' '13163000082']
171,"['13033000001' '13033000002' '13033000003' '13033000005' '13033000011'
 '13033000012' '13033000015' '13033000016']"
172,['13033000001' '13033000003' '13033000008' '13033000014' '13033000016']
173,"['13033000004' '13033000008' '13033000010' '13033000012' '13033000013'
 '13033000014' '13033000015']"
174,"['13151000025' '13151000026' '13151000027' '13151000058' '13151000059'
 '13159000295' '13159000296' '1317101712A' '13207000004' '13207000010'
 '13207000013' '13217000006' '13217000018' '13255000009' '13255000020']"
175,"['1300700000E' '1300700000M' '1300700000N' '13037000002' '13095000009'
 '13095000025' '13243000998' '13273000002' '13273000006']"
176,"['1300700000M' '13037000001' '13037000003' '13037000004' '13037000005'
 '1309900000A' '13243000947' '13243000998' '13273000006']"
177,['13037000002' '13037000004']
178,"['13037000002' '13037000003' '13037000005' '13061000001' '1309900000A'
 '1309900000U' '13243000934' '13243000947']"
179,['13037000002' '13037000004' '1309900000A']
180,"['13025000002' '13025000003' '13039000002' '13039000003' '13039000004'
 '1304900005F' '1304900005W' '13127001933']"
181,['13039000001' '13039000003' '13039000010' '13127001933' '13127002953']
182,"['13039000001' '13039000002' '13039000004' '13039000005' '13039000007'
 '13039000010']"
183,['13039000001' '13039000003' '13039000006' '13039000007' '1304900005F']
184,['13039000003' '13039000007' '13039000009' '13039000010' '13039000013']
185,['13039000004' '13039000007' '13039000008' '13039000009' '13039000014']
186,"['13039000003' '13039000004' '13039000005' '13039000006' '13039000008'
 '13039000009']"
187,['13039000006' '13039000007' '13039000009' '13039000014']
188,"['13039000005' '13039000006' '13039000007' '13039000008' '13039000013'
 '13039000014']"
189,"['13039000002' '13039000003' '13039000005' '13039000011' '13039000012'
 '13039000013' '13039000014' '13127002953']"
190,['13039000010' '13039000013' '13039000014']
191,['13039000010' '13039000014']
192,['13039000005' '13039000009' '13039000010' '13039000011' '13039000014']
193,"['13039000006' '13039000008' '13039000009' '13039000010' '13039000011'
 '13039000012' '13039000013']"
194,['13031000011' '13031000012' '13043001736' '13107000058' '13107001560']
195,"['13031000008' '13031000009' '13031000011' '13043001685' '13107000050'
 '13107000058' '13109000011' '13267000001' '13267000003' '13279015361']"
196,"['13045001122' '13045001483' '13045001542' '130450714A2' '130450714A3'
 '130450714BN']"
197,['13045000641' '13045000642' '13045000649' '13045001122' '13097001271']
198,['13045000640' '13045000642' '13045000649' '13097001258' '1322300012C']
199,['13045000640' '13045000641' '13045001122' '13097001258' '13097001271']
200,"['13045000640' '13045000641' '13045000650' '13045001122' '13045001152'
 '13143000002' '13143000005' '13143000010' '1322300012C']"
201,['13045000649' '13143000002' '13143000010']
202,"['13045000713' '13045001483' '13045001542' '13077000008' '13077000011'
 '13077000012' '13097001260' '1312100CH03' '1312100CH05']"
203,"['13045000682' '13045000715' '13045001483' '13045001533' '130450714BW'
 '13077000011' '13149000CEN' '13149000ENO' '13149000EPH']"
204,['13045000713' '13045001483' '130450714A4' '130450714A6' '130450714BW']
205,['13045001111' '13045001240' '13045001371' '13143000004']
206,['13045001006' '13045001371' '13045001533']
207,"['13045000501' '13045000640' '13045000642' '13045000649' '13045001152'
 '13045001540' '13045001542' '130450714BN' '13097001271']"
208,['13045000649' '13045001122' '13045001496' '130450714BN' '13143000002']
209,"['13045001006' '13045001371' '13045001496' '130450714A1' '13143000002'
 '13143000004' '13143000013']"
210,"['13045001006' '13045001111' '13045001240' '13045001533' '130450714A1'
 '130450714A4' '130450714BW']"
211,"['13045000501' '13045000682' '13045000713' '13045000715' '13045001542'
 '130450714A3' '130450714A6']"
212,"['13045001152' '13045001240' '130450714A1' '130450714BN' '13143000002'
 '13143000013']"
213,"['13045000713' '13045001111' '13045001371' '130450714BW' '13149000CEN'
 '13149000EPH']"
214,['13045001122' '13045001542' '13097001271']
215,"['13045000501' '13045000682' '13045001122' '13045001483' '13045001540'
 '13097001260' '13097001271']"
216,"['13045001240' '13045001371' '13045001496' '130450714A2' '130450714A3'
 '130450714A4' '130450714A5' '130450714A6' '130450714BN']"
217,['13045000501' '130450714A1' '130450714A3' '130450714A5' '130450714BN']
218,"['13045000501' '13045001483' '130450714A1' '130450714A2' '130450714A5'
 '130450714A6']"
219,['13045000715' '13045001371' '130450714A1' '130450714A6' '130450714BW']
220,['130450714A1' '130450714A2' '130450714A3']
221,['13045000715' '13045001483' '130450714A1' '130450714A3' '130450714A4']
222,"['13045000501' '13045001122' '13045001152' '13045001496' '130450714A1'
 '130450714A2']"
223,['13045000713' '13045000715' '13045001371' '13045001533' '130450714A4']
224,"['1304700CAKT' '1304700POPS' '1304700RING' '1304700WOOD' '133130000TH'
 '133130000TR']"
225,"['1304700CHAM' '1304700FT-O' '1304700GRAY' '1304700POPS' '1304700RING'
 '1304700WEST']"
226,['1304700BLCK' '1304700RING' '133130000CO' '133130000TH' '133130000VA']
227,"['1304700BOYN' '1304700FT-O' '1304700POPS' '1304700WOOD' '13295000944'
 '13295001818']"
228,"['1304700BOYN' '1304700CHAM' '1304700LAKE' '1304700WEST' '13295001818'
 '13295001893']"
229,['1304700BOYN' '1304700RING' '1304700WEST']
230,['1304700FT-O' '1304700WEST' '13295001812' '13295001893']
231,['1304700BLCK' '1304700BOYN' '1304700CHAM' '1304700RING' '1304700WOOD']
232,['1304700BLCK' '1304700BOYN' '1304700CAKT' '1304700GRAY' '1304700POPS']
233,['1304700BOYN' '1304700FT-O' '1304700GRAY' '1304700LAKE']
